mukey,residual saturation [-],Rosetta porosity [-],van Genuchten alpha [Pa^-1],van Genuchten n [-],Rosetta permeability [m^2],thickness [cm],permeability [m^2],porosity [-],bulk density [g/cm^3],total sand pct [%],total silt pct [%],total clay pct [%],source,id,count,area,coverage [%]
75318,0.20914974582555879,0.465032983435465,7.82235447081185e-05,1.3992029907213306,4.4148710722323046e-13,152.0,5.243610795028082e-13,0.2463157894736842,1.1990789473684211,43.73157894736842,31.518421052631577,24.75,NRCS,75318,1,21753.535667419434,0.010602783919672383
75322,0.1450748925154877,0.4994989186122468,0.00010878821392097494,1.499192022534961,2.76054537145796e-12,152.0,2.8e-12,0.2906578947368421,0.95,67.92434210526316,24.4046052631579,7.671052631578948,NRCS,75322,3,74996.48824310303,0.03655366979110485
75327,0.144439116106418,0.5031865908324142,5.8129748497907486e-05,1.5222577751144588,2.918469515411826e-12,160.0,2.8e-12,0.3955000000000001,0.88,52.548125,40.214375000000004,7.237500000000001,NRCS,75327,82,1762201.0842666626,0.8589057707743317
75328,0.144439116106418,0.5031865908324142,5.8129748497907486e-05,1.5222577751144588,2.918469515411826e-12,160.0,2.8e-12,0.3955000000000001,0.88,52.548125,40.214375000000004,7.237500000000001,NRCS,75328,96,2204836.412475586,1.0746484809233536
75334,0.1420509940516161,0.5440582636553642,0.00010018668364076948,1.464120330446205,3.77179123115209e-12,152.0,2.8e-12,0.3201973684210526,0.7907894736842106,68.65,23.613157894736844,7.7368421052631575,NRCS,75334,128,2943072.9722442627,1.434468734720199
75339,0.14616983492586474,0.48332699593098793,8.263183335437187e-05,1.5078239109676579,2.2774726353332734e-12,152.0,1.6851679572004073e-12,0.4123684210526316,0.9773684210526317,59.64078947368421,32.964473684210525,7.394736842105263,NRCS,75339,101,2788124.8291549683,1.358946221734375
75340,0.14616983492586474,0.48332699593098793,8.263183335437187e-05,1.5078239109676579,2.2774726353332734e-12,152.0,1.6851679572004073e-12,0.4123684210526316,0.9773684210526317,59.64078947368421,32.964473684210525,7.394736842105263,NRCS,75340,101,1963323.2946243286,0.9569337589814643
75342,0.14616983492586474,0.48332699593098793,8.263183335437187e-05,1.5078239109676579,2.2774726353332734e-12,152.0,1.6851679572004073e-12,0.4123684210526316,0.9773684210526317,59.64078947368421,32.964473684210525,7.394736842105263,NRCS,75342,2541,65317265.637283325,31.83596746588606
75343,0.15173345004400207,0.48008352184382425,7.919151483196758e-05,1.499234067581945,1.932453326085032e-12,152.0,1.6125063781397142e-12,0.43534626038781166,0.9997022160664821,57.38247922437673,33.6718836565097,8.945637119113574,NRCS,75343,41,1043527.1125488281,0.508620421885993
75349,0.14616983492586466,0.48332699593098793,8.263183335437187e-05,1.507823910967658,2.2774726353332734e-12,152.0,1.6851679572004073e-12,0.4123684210526316,0.9773684210526317,59.64078947368421,32.96447368421053,7.394736842105264,NRCS,75349,16,478608.09870147705,0.23327602143946
75351,0.14373375725176485,0.48679099057577324,9.373469712324026e-05,1.5088791314635417,2.5103437882697608e-12,136.8125,1.7176459439028662e-12,0.4206578947368421,0.97137528604119,63.44377002288329,29.756001144164756,6.8002288329519445,NRCS,75351,531,15197674.906845093,7.407424042797957
75352,0.14616983492586466,0.48332699593098793,8.263183335437187e-05,1.507823910967658,2.2774726353332734e-12,152.0,1.6851679572004073e-12,0.4123684210526316,0.9773684210526317,59.64078947368421,32.96447368421053,7.394736842105264,NRCS,75352,814,22850317.61631012,11.13736101963788
75356,0.23788158213935126,0.45013698459957685,6.201923879113101e-05,1.3785504849862218,1.859708928763296e-13,152.0,2.0937843947447842e-13,0.4780263157894737,1.3148684210526316,26.48421052631579,41.38421052631578,32.131578947368425,NRCS,75356,27,582089.7609024048,0.28371350988913063
75357,0.15710535241800913,0.4919839335441109,0.0001258473048210323,1.483837208640864,2.1287296494219088e-12,152.0,1.5874507866387538e-12,0.41960526315789476,1.026907894736842,69.57105263157895,19.205263157894738,11.223684210526317,NRCS,75357,142,3405158.70879364,1.659691672816354
75359,0.15710535241800908,0.49198393354411085,0.00012584730482103243,1.483837208640864,2.1287296494219088e-12,152.0,1.5874507866387546e-12,0.4196052631578947,1.0269078947368422,69.57105263157895,19.205263157894738,11.223684210526317,NRCS,75359,343,8601082.360229492,4.192211286250982
75361,0.15710535241800913,0.4919839335441109,0.0001258473048210323,1.483837208640864,2.1287296494219088e-12,152.0,1.5874507866387538e-12,0.41960526315789476,1.026907894736842,69.57105263157895,19.205263157894738,11.223684210526317,NRCS,75361,159,4606508.358062744,2.245235601762666
75392,0.15983694522621852,0.3992050740906933,0.00017317013013045545,1.5646628419063122,9.783199241680568e-13,165.0,2.2912517681770134e-12,0.3255757575757576,1.3960606060606058,72.31393939393939,19.09818181818182,8.587878787878788,NRCS,75392,174,3515133.911956787,1.7132941461562312
75394,0.16937491962470486,0.6688266878766187,4.113799235761237e-05,1.4379306216051289,8.270092321972705e-12,152.0,1.5402067587236001e-12,0.6655263157894737,0.43850000000000006,38.93407894736843,44.21328947368421,16.85263157894737,NRCS,75394,66,1337952.697883606,0.6521249495845945
75398,0.19047951245535044,0.43974818987552694,7.48561791540443e-05,1.444338383568845,4.833013940111677e-13,152.0,2.4115747379007883e-12,0.22776315789473683,1.2294736842105263,46.3578947368421,36.16842105263159,17.473684210526315,NRCS,75398,2,60475.67872619629,0.029476153381803448
75403,0.16562194220856385,0.4585590969462734,8.442361604182565e-05,1.477966252021742,1.1071658803460393e-12,152.0,2.5871511999576436e-12,0.27754643962848297,1.1152941176470588,55.13065015479876,32.795046439628486,12.074303405572756,NRCS,75403,2,46191.70877075195,0.02251407377929096
75404,0.18539447357917338,0.4688788619394888,8.506431482279355e-05,1.4343194295249249,7.98734069809665e-13,157.625,9.081153164107374e-13,0.42590363777089785,1.132387287151703,52.1337243614551,29.808238196594427,18.058037441950464,NRCS,75404,1,33306.932304382324,0.016233968199451523
75413,0.17575210649690748,0.4658462132851608,7.751906242941618e-05,1.4592772187274767,9.369519160136222e-13,152.0,1.7738401721070337e-12,0.3388815789473684,1.1089473684210525,51.43618421052632,33.40592105263158,15.157894736842104,NRCS,75413,116,3027687.42804718,1.4757102508155653
75414,0.18308895859048735,0.46894445898136905,8.826952596418143e-05,1.4367093111630627,8.510774244170178e-13,159.0,9.030411737132048e-13,0.41572101823185414,1.1300249398004816,53.6405280357757,28.92558823529412,17.43388372893017,NRCS,75414,28,675898.8716964722,0.32943654758988405
75440,0.13991662834151955,0.5373248154874195,9.768200748126298e-05,1.4755225086646095,3.81928080465847e-12,152.0,3.0998699523079544e-12,0.36486842105263156,0.8030263157894737,68.1171052631579,25.04407894736842,6.838815789473686,NRCS,75440,7,118167.60140228271,0.05759548990699809
75462,0.1410324700996444,0.4877306144930661,9.520729736341105e-05,1.5150015752916777,2.6890603564711535e-12,152.0,2.8000000000000014e-12,0.3268421052631579,0.9622368421052631,64.34868421052632,29.651315789473685,6.0,NRCS,75462,53,1087427.031906128,0.5300174658494541
75482,0.14103247009964442,0.487730614493066,9.520729736341095e-05,1.5150015752916774,2.6890603564711507e-12,152.0,2.8e-12,0.3268421052631579,0.9622368421052632,64.34868421052632,29.65131578947368,6.0,NRCS,75482,70,1460877.1444015503,0.7120389499936003
75485,0.14103247009964442,0.487730614493066,9.520729736341095e-05,1.5150015752916774,2.6890603564711507e-12,152.0,2.8e-12,0.3268421052631579,0.9622368421052632,64.34868421052632,29.65131578947368,6.0,NRCS,75485,52,1342360.7491531372,0.6542734561920827
75506,0.14615983087305373,0.540056693604262,5.032825637372493e-05,1.5083083063674605,4.045882649510141e-12,152.0,2.8e-12,0.3561842105263158,0.7603947368421053,50.29210526315789,41.20789473684211,8.5,NRCS,75506,93,2865030.6820983887,1.3964305255911704
75508,0.14615983087305373,0.540056693604262,5.032825637372493e-05,1.5083083063674605,4.045882649510141e-12,152.0,2.8e-12,0.3561842105263158,0.7603947368421053,50.29210526315789,41.20789473684211,8.5,NRCS,75508,3,77833.97695922852,0.03793667622240633
75511,0.14615983087305373,0.540056693604262,5.032825637372493e-05,1.5083083063674605,4.045882649510141e-12,152.0,2.8e-12,0.3561842105263158,0.7603947368421053,50.29210526315789,41.20789473684211,8.5,NRCS,75511,412,12666179.433486938,6.17356027425916
75514,0.1382209786691701,0.5330998171814378,8.051166994763832e-05,1.4876641833153295,4.00093129027148e-12,152.0,2.5673895414489455e-12,0.4673684210526316,0.7918421052631579,63.49473684210526,30.518421052631577,5.9868421052631575,NRCS,75514,33,885866.0207824707,0.4317756039172995
75572,0.19653353713950553,0.4521275790900233,6.853547000176596e-05,1.436417690128019,4.807524007232311e-13,153.76470588235296,1.0281073657745868e-12,0.3314186557475282,1.1978660241685808,42.836467592130234,37.23225556776191,19.931276840107863,NRCS,75572,231,5359053.386390686,2.6120298759061225
75586,0.19173694503737154,0.46457623646637347,6.872911815708305e-05,1.4395809261448143,6.235995274454543e-13,153.6875,1.1048041919044188e-12,0.22980645161290325,1.1458064516129032,44.352258064516136,36.1283870967742,19.519354838709678,NRCS,75586,186,4877711.935317993,2.3774216046194927
75618,0.13797271862194962,0.35543529436670007,0.00030236853570557996,2.362521198907023,3.818404631495624e-12,152.0,1.1902642790796174e-11,0.17095366621682412,1.570135233918129,88.96334064327488,9.223793859649124,1.8128654970760236,NRCS,75618,93,1764109.6435089111,0.8598360122556631
75654,0.15204502985677065,0.5084005331863192,8.035914312516876e-05,1.4791127407789753,2.5286282702505807e-12,152.0,1.996303620598763e-12,0.5640542763157894,0.9089268092105263,59.35707236842106,30.704399671052634,9.938527960526317,NRCS,75654,37,822471.0105514526,0.4008765535127433
