mukey,residual saturation [-],Rosetta porosity [-],van Genuchten alpha [Pa^-1],van Genuchten n [-],Rosetta permeability [m^2],thickness [cm],permeability [m^2],porosity [-],bulk density [g/cm^3],total sand pct [%],total silt pct [%],total clay pct [%],source,id,count,area,coverage [%],cluster
75691,0.1461698349258647,,8.263183335437188e-05,1.507823910967658,,152.0,1.6851679572004073e-12,0.4123684210526316,,,,,NRCS,75691,218,6048372.119369508,2.9480073321365183,3
75693,0.1461698349258647,,8.263183335437188e-05,1.507823910967658,,152.0,1.6851679572004073e-12,0.4123684210526316,,,,,NRCS,75693,13,352970.2068328857,0.1720394739663538,3
75694,0.1461698349258646,0.4833269959309879,8.263183335437188e-05,1.507823910967658,2.2774726353332734e-12,152.0,1.6851679572004073e-12,0.4123684210526316,0.9773684210526316,59.640789473684215,32.96447368421053,7.394736842105264,NRCS,75694,100,2882794.5962142944,1.40508874767599,3
75695,0.1571053524180091,0.4919839335441109,0.000125847304821,1.483837208640864,2.1287296494219088e-12,152.0,1.5874507866387538e-12,0.4196052631578948,1.026907894736842,69.57105263157895,19.20526315789473,11.223684210526317,NRCS,75695,36,1058475.8237686155,0.5159064997615254,3
75696,0.1505623315719345,0.4931753928255261,0.0001250237906037,1.499805757212039,2.4427790949610497e-12,139.21052631578948,1.6540914943590888e-12,0.4264035087719298,1.0037356979405034,70.48649885583524,20.22669717772693,9.286803966437834,NRCS,75696,38,1070274.9489440918,0.5216574533807161,3
679189,0.1461698349258647,,8.263183335437188e-05,1.507823910967658,,,1.6851679572004073e-12,0.4123684210526316,,,,,NRCS,679189,12,324273.8292770386,0.1580527135999606,3
2756442,0.1357873161213921,0.4490589116703593,9.390173456751652e-05,1.5518761714117395,2.075786863224381e-12,150.0,7.81625953465804e-12,0.2474915427337787,1.078888888888889,61.443688586545726,35.176060286619304,3.3802511268349784,NRCS,2756442,6,83299.82598876952,0.0406007588379312,2
2901079,0.137329124261361,0.4676238061329449,9.230561977703512e-05,1.5375776472510512,2.4163668265790348e-12,150.0,7.808154599743968e-12,0.4293459921459921,1.0165,62.53427177177178,33.12302552552552,4.342702702702701,NRCS,2901079,10,284280.29205322266,0.1385596601556605,2
2901080,0.1365300365009852,0.4190196530060073,0.000118312870608,1.5681048319953232,1.5502612386206833e-12,150.0,1.160341791085484e-11,0.2239843068875327,1.2146262626262625,64.04279279279278,33.2027027027027,2.754504504504504,NRCS,2901080,20,569017.8075714111,0.2773421733535187,4
2901081,0.1357873161213921,0.4490589116703593,9.390173456751652e-05,1.5518761714117395,2.075786863224381e-12,150.0,7.81625953465804e-12,0.2474915427337787,1.078888888888889,61.443688586545726,35.176060286619304,3.3802511268349784,NRCS,2901081,90,2405361.0019989014,1.1723851856964096,2
2901082,0.1357045510551847,0.4533849040020396,9.375773757615964e-05,1.5499679861110556,2.1773570199625527e-12,150.0,8.005078984567882e-12,0.3002164891326382,1.0631,61.84197079732794,34.68173382327109,3.4762953794009683,NRCS,2901082,11,245364.8241195679,0.1195920631662913,2
2901083,0.1341976568645033,0.4761488784896312,9.344920441828832e-05,1.541056694082081,2.8198632895807275e-12,150.0,7.662446545946889e-12,0.4448035285285285,0.9796,64.03723723723725,32.37935810810811,3.5834046546546543,NRCS,2901083,7,120381.66580963136,0.0586746361595548,2
2901084,0.1386963585836996,0.4701917276457149,9.54971129672866e-05,1.5325638669649586,2.4113911252214127e-12,150.0,7.645950701742134e-12,0.4143626669267402,1.0149824561403509,63.40445708866761,31.75780299750551,4.837739913826869,NRCS,2901084,7,157777.6849822998,0.0769016460951201,2
2901085,0.1361825875500579,0.4694653857239745,8.728789512927887e-05,1.5399540258666955,2.5139147247607215e-12,150.0,7.813011625644598e-12,0.4532066066066066,1.0015,61.48997747747747,34.49667417417417,4.013348348348348,NRCS,2901085,8,218426.44857025144,0.106462161918828,2
2901086,0.1377202664153823,0.4722922263930096,8.944998740302591e-05,1.5338222582556322,2.4979731785050013e-12,150.0,7.720693586469282e-12,0.4241774230840593,0.9985263157894736,62.10004741583689,33.333017914940115,4.566934669223,NRCS,2901086,58,1703349.2795867918,0.8302211018614987,2
