datetime,total water content [m],storage_gain [m],storage_lose [m],cum-storage_gain [m],cum-storage_lose [m],base flow [m/d],overland flow [m/d]
2013-10-02,1.4666015999872577,0.0030837779745547245,0.0,0.0030837779745547245,0.0,0.0,0.003599289134026578
2013-10-03,1.4659660001924908,0.0,-0.0006355997947669056,0.0030837779745547245,-0.0006355997947669056,0.0005007456424147057,0.0031217225989186065
2013-10-04,1.4623842630177333,0.0,-0.0035817371747575155,0.0030837779745547245,-0.004217336969524421,0.0033192838991584154,0.0
2013-10-05,1.4590938975301253,0.0,-0.0032903654876079713,0.0030837779745547245,-0.0075077024571323925,0.0029276004798113714,0.0
2013-10-06,1.4560200536595047,0.0,-0.003073843870620596,0.0030837779745547245,-0.010581546327752989,0.0026986560208097964,0.0
2013-10-07,1.4564687222329165,0.00044866857341174793,0.0,0.0035324465479664724,-0.010581546327752989,0.0,0.0026055058598848184
2013-10-08,1.4601630232677247,0.0036943010348082783,0.0,0.007226747582774751,-0.010581546327752989,0.0,0.0026959076300225662
2013-10-09,1.4611910483788575,0.0010280251111327576,0.0,0.008254772693907508,-0.010581546327752989,0.0,0.002925886780252995
2013-10-10,1.4601732634818945,0.0,-0.0010177848969630254,0.008254772693907508,-0.011599331224716014,0.0009038042427097254,0.0020436909354687605
2013-10-11,1.4595438289544955,0.0,-0.0006294345273989421,0.008254772693907508,-0.012228765752114956,0.0005424536229158522,0.002292875696563907
2013-10-12,1.4593254484865692,0.0,-0.00021838046792632682,0.008254772693907508,-0.012447146220041283,0.00014501329338456682,0.00262450929495934
2013-10-13,1.4580127580477404,0.0,-0.0013126904388287564,0.008254772693907508,-0.01375983665887004,0.0011948715055604563,0.0015339057162494652
2013-10-14,1.455153602941053,0.0,-0.0028591551066874388,0.008254772693907508,-0.016618991765557478,0.002649890327588239,4.743785468608319e-10
2013-10-15,1.4524278762010099,0.0,-0.0027257267400431218,0.008254772693907508,-0.0193447185056006,0.002494075394511122,3.0993657909247907e-09
2013-10-16,1.4498463016072158,0.0,-0.002581574593794045,0.008254772693907508,-0.021926293099394645,0.002365384447742245,0.0
2013-10-17,1.447344107241767,0.0,-0.002502194365448851,0.008254772693907508,-0.024428487464843496,0.002280511381155351,3.853215658870812e-10
2013-10-18,1.4448891232556704,0.0,-0.0024549839860965594,0.008254772693907508,-0.026883471450940055,0.0022104804416961596,4.1636713261211655e-10
2013-10-19,1.4424703640785028,0.0,-0.0024187591771676065,0.008254772693907508,-0.02930223062810766,0.0021462384281105066,1.2528055012665795e-09
2013-10-20,1.4401098907495906,0.0,-0.002360473328912205,0.008254772693907508,-0.031662703957019867,0.002086162974187305,9.322854133651803e-10
2013-10-21,1.4378316096449748,0.0,-0.002278281104615809,0.008254772693907508,-0.033940985061635676,0.0020277246625198093,9.373047477057028e-11
2013-10-22,1.435620669560469,0.0,-0.0022109400845058413,0.008254772693907508,-0.03615192514614152,0.0019725015312217413,6.547919021229753e-11
2013-10-23,1.4334700839989158,0.0,-0.00215058556155312,0.008254772693907508,-0.03830251070769464,0.00192234293889712,0.0
2013-10-24,1.4313989529330062,0.0,-0.002071131065909615,0.008254772693907508,-0.04037364177360425,0.001866762834648415,0.0
2013-10-25,1.429412349946714,0.0,-0.001986602986292274,0.008254772693907508,-0.042360244759896526,0.001812144541560774,0.0
2013-10-26,1.4274568253062172,0.0,-0.001955524640496753,0.008254772693907508,-0.04431576940039328,0.001775536427583553,0.0
2013-10-27,1.4259194449536425,0.0,-0.0015373803525746688,0.008254772693907508,-0.04585314975296795,0.0013625427764518687,0.0003772815414678193
2013-10-28,1.424449741448784,0.0,-0.0014697035048585327,0.008254772693907508,-0.04732285325782648,0.0013415015046617327,0.00036114532336909864
2013-10-29,1.4226920412687187,0.0,-0.0017577001800652692,0.008254772693907508,-0.04908055343789175,0.0016761644190612392,0.0
2013-10-30,1.4209606522920577,0.0,-0.0017313889766610302,0.008254772693907508,-0.05081194241455278,0.0016588816769581302,0.0
2013-10-31,1.4264166957038935,0.005456043411835809,0.0,0.013710816105743318,-0.05081194241455278,0.0,0.0017044098336291844
2013-11-01,1.4323030393540646,0.005886343650171044,0.0,0.019597159755914362,-0.05081194241455278,0.0,0.002007441355688198
2013-11-02,1.4425028088542124,0.010199769500147893,0.0,0.029796929256062255,-0.05081194241455278,0.0,0.002280104834754256
2013-11-03,1.454476046147182,0.011973237292969507,0.0,0.04177016654903176,-0.05081194241455278,0.0,0.0028323577546068173
2013-11-04,1.4570409082943152,0.002564862147133251,0.0,0.04433502869616501,-0.05081194241455278,0.0,0.003172212062805793
2013-11-05,1.4591908334295813,0.0021499251352661286,0.0,0.04648495383143114,-0.05081194241455278,0.0,0.0027440261180307385
2013-11-06,1.4621449207478092,0.0029540873182278826,0.0,0.049439041149659024,-0.05081194241455278,0.0,0.0024583289494252846
2013-11-07,1.476561105803362,0.014416185055552866,0.0,0.06385522620521189,-0.05081194241455278,0.0,0.00261149658123204
2013-11-08,1.4905157068071613,0.013954601003799194,0.0,0.07780982720901108,-0.05081194241455278,0.0,0.003735716661835231
2013-11-09,1.4918514909448775,0.0013357841377161783,0.0,0.07914561134672726,-0.05081194241455278,0.0,0.0046219058422347775
2013-11-10,1.491821303161271,0.0,-3.018778360641683e-05,0.07914561134672726,-0.0508421301981592,0.0,0.003799318219179034
2013-11-11,1.489908242001875,0.0,-0.0019130611593960456,0.07914561134672726,-0.05275519135755524,0.0018636259444664955,0.0013820518405400037
