date,simu ET [mm/8d],obs ET [mm/8d]
2014-10-08,3.6583209046468004,6.737712251
2014-10-16,2.357371252623,7.412332935
2014-10-24,1.12306512967193,3.527609482
2014-11-01,1.52063229867997,3.898408162
2014-11-09,1.53115152900406,3.697681788
2014-11-17,1.5203983832493,3.324075996
2014-11-25,1.48905707347453,3.081066342
2014-12-03,5.98173689535533,2.512303845
2014-12-11,2.8340951058004302,2.258621895
2014-12-19,5.929513330318301,2.212440013
2014-12-27,3.88090863915246,1.984848989
2015-01-01,3.073519635372077,4.085232973
2015-01-09,3.914894300513787,3.750706891
2015-01-17,6.0899552244165,3.078875008
2015-01-25,3.0244629598678805,5.394825309
2015-02-02,6.081365716829021,2.618928593
2015-02-10,2.93725927943624,5.845290632
2015-02-18,3.37111666130371,5.076556833
2015-02-26,2.96232606437486,6.380085202
2015-03-06,3.3749942434184996,7.627489213
2015-03-14,3.0034898164786004,7.48014582
2015-03-22,3.2794405204329005,8.673202907
2015-03-30,4.65994478153338,7.880092667
2015-04-07,4.235018278457799,9.503873671
2015-04-15,4.4292954099416,10.18741635
2015-04-23,6.6233431513347005,12.174242
2015-05-01,7.0103055469765,13.11752398
2015-05-09,8.3404411732446,12.93732563
2015-05-17,6.3658418992277,14.57230488
2015-05-25,8.7600012834022,17.20369666
2015-06-02,11.4206471364738,22.1520174
2015-06-10,14.159691160787801,20.65782421
2015-06-18,14.837038986132999,18.34759959
2015-06-26,12.645604525958902,24.79424645
2015-07-04,18.546353165691997,20.97250871
2015-07-12,12.982584472484701,21.90941553
2015-07-20,13.2125384882992,19.10510351
2015-07-28,10.2868560326899,17.17470735
2015-08-05,17.509188349845,17.93764226
2015-08-13,12.580157120902001,17.48105242
2015-08-21,12.1832610771103,13.13678307
2015-08-29,9.512319719284,13.86513421
2015-09-06,3.0973122918554,12.21763953
2015-09-14,7.8738246468942,10.82956839
2015-09-22,3.6483614439126004,7.599712372
2015-09-30,5.5112409803514,7.01031275
2015-10-08,3.7739833953197,6.635304318
2015-10-16,2.1433265330955997,6.016356094
2015-10-24,1.6211362488138699,4.386704965
2015-11-01,0.68757974772071,3.380068624
2015-11-09,2.6143948409062796,2.582726883
2015-11-17,4.460564710340759,4.289344021
2015-11-25,4.90705024327887,4.584442835
2015-12-03,2.75054279127441,1.667124256
2015-12-11,3.66473586577147,2.129369316
2015-12-19,3.7222519575491,1.741836683
2015-12-27,3.9751378180873,1.507096128
2016-01-01,2.3934906703146,2.416510656
2016-01-09,2.98092741646756,2.01174128
2016-01-17,5.375454944174601,2.038170922
2016-01-25,4.8885493930182005,2.794123243
2016-02-02,6.52712584333995,4.465360724
2016-02-10,3.05530937823575,3.336685662
2016-02-18,13.6793164629007,5.721816762
2016-02-26,11.389906012598301,6.1192045
2016-03-05,8.7324516587414,5.940890694
2016-03-13,8.751382986996699,7.127849602
2016-03-21,5.86159272800158,10.07676524
2016-03-29,6.80206999064441,9.523746947
2016-04-06,8.326272646003869,8.573562115
2016-04-14,11.148477555748501,9.266021841
2016-04-22,7.711042440737999,15.05991011
2016-04-30,8.9342657490695,13.62681336
2016-05-08,10.1618139401617,14.32360257
2016-05-16,12.1544251821094,16.217544
2016-05-24,6.6242846033727005,16.81038834
2016-06-01,7.6381160500834,17.17048749
2016-06-09,16.189942568624,18.04359786
2016-06-17,7.874105336482,18.39027603
2016-06-25,10.247317467549799,24.72160981
2016-07-03,15.141368449169,22.44341123
2016-07-11,8.4926214460591,21.04445471
2016-07-19,10.9871164092841,23.77582478
2016-07-27,15.122901443968,23.24778563
2016-08-04,16.273234381783002,21.105731
2016-08-12,12.4352331006093,21.00769522
2016-08-20,15.457354744769999,15.44319041
2016-08-28,11.544788176161399,13.31064868
2016-09-05,6.4356087721746995,13.339996
2016-09-13,5.8940980406189,11.49083279
2016-09-21,5.5535649913462,10.52053712
2016-09-29,5.189324268506699,8.554572816
