date,simu ET [mm/8d],obs ET [mm/8d]
2014-10-08,3.6722772944356,6.737712251
2014-10-16,2.3765511097484997,7.412332935
2014-10-24,1.1302896148971502,3.527609482
2014-11-01,1.5252519887386402,3.898408162
2014-11-09,1.53425684502388,3.697681788
2014-11-17,1.5289687012214501,3.324075996
2014-11-25,1.49422619012733,3.081066342
2014-12-03,5.97844211418442,2.512303845
2014-12-11,2.83444373020434,2.258621895
2014-12-19,5.932798106626,2.212440013
2014-12-27,3.87828918507186,1.984848989
2015-01-01,3.0631420148240336,4.085232973
2015-01-09,3.937084809473653,3.750706891
2015-01-17,6.0898084281605,3.078875008
2015-01-25,3.0142142621561,5.394825309
2015-02-02,6.0810532773743,2.618928593
2015-02-10,2.9359102339985803,5.845290632
2015-02-18,3.3742551265604397,5.076556833
2015-02-26,2.97390824683833,6.380085202
2015-03-06,3.3707440474253,7.627489213
2015-03-14,3.0053144264694,7.48014582
2015-03-22,3.2900636879275,8.673202907
2015-03-30,4.6701989275549805,7.880092667
2015-04-07,4.2377564800038,9.503873671
2015-04-15,4.4247627608078,10.18741635
2015-04-23,6.518708075750601,12.174242
2015-05-01,7.0159625690075,13.11752398
2015-05-09,8.5635331776217,12.93732563
2015-05-17,6.476473702572899,14.57230488
2015-05-25,8.7093105811749,17.20369666
2015-06-02,11.5479499699898,22.1520174
2015-06-10,14.032573431234798,20.65782421
2015-06-18,15.348690098008998,18.34759959
2015-06-26,14.370502271099,24.79424645
2015-07-04,20.215286654706002,20.97250871
2015-07-12,16.2819291409211,21.90941553
2015-07-20,13.458407387934999,19.10510351
2015-07-28,11.1416157943132,17.17470735
2015-08-05,17.927564481154,17.93764226
2015-08-13,15.003654704622999,17.48105242
2015-08-21,12.1441916150017,13.13678307
2015-08-29,9.4912788589635,13.86513421
2015-09-06,3.0903906076272,12.21763953
2015-09-14,7.8383717863381,10.82956839
2015-09-22,3.6757409661459,7.599712372
2015-09-30,5.5081228830823,7.01031275
2015-10-08,3.7766946387647002,6.635304318
2015-10-16,2.142392750226,6.016356094
2015-10-24,1.6192584290389502,4.386704965
2015-11-01,0.68627345536538,3.380068624
2015-11-09,2.6179446312864,2.582726883
2015-11-17,4.4659906317104605,4.289344021
2015-11-25,4.91255698435267,4.584442835
2015-12-03,2.7499893472164896,1.667124256
2015-12-11,3.66013990912063,2.129369316
2015-12-19,3.7197928792496997,1.741836683
2015-12-27,3.9737508403788,1.507096128
2016-01-01,2.39184426040269,2.416510656
2016-01-09,2.9511732327083298,2.01174128
2016-01-17,5.350350715171901,2.038170922
2016-01-25,4.8886298157142,2.794123243
2016-02-02,6.51885035909445,4.465360724
2016-02-10,3.0566264523149798,3.336685662
2016-02-18,13.6834951745948,5.721816762
2016-02-26,11.380661989420101,6.1192045
2016-03-05,8.7162884099652,5.940890694
2016-03-13,8.7419021672336,7.127849602
2016-03-21,5.89069502901132,10.07676524
2016-03-29,6.80483056994782,9.523746947
2016-04-06,8.34461799937488,8.573562115
2016-04-14,11.1861836561598,9.266021841
2016-04-22,7.7122894170083,15.05991011
2016-04-30,8.943289192011902,13.62681336
2016-05-08,10.142940537714399,14.32360257
2016-05-16,12.0596049094481,16.217544
2016-05-24,6.612546755274099,16.81038834
2016-06-01,7.596611265565301,17.17048749
2016-06-09,16.176731423672,18.04359786
2016-06-17,7.8806129577689,18.39027603
2016-06-25,10.2184893971059,24.72160981
2016-07-03,15.485334202667001,22.44341123
2016-07-11,8.6202417595907,21.04445471
2016-07-19,10.9944715890928,23.77582478
2016-07-27,15.186873491945,23.24778563
2016-08-04,16.388578585582,21.105731
2016-08-12,12.5764113016442,21.00769522
2016-08-20,16.034564420749,15.44319041
2016-08-28,11.713763650133998,13.31064868
2016-09-05,6.553024638976399,13.339996
2016-09-13,6.0580869891828995,11.49083279
2016-09-21,5.5715235336014,10.52053712
2016-09-29,5.1837125322094,8.554572816
