datetime,time [d],watershed boundary discharge [mol d^-1],net groundwater flux [mol d^-1],snowmelt [m d^-1],snow precipitation [m d^-1],rain precipitation [m d^-1],surface water content [mol],subsurface water content [mol],snow water content [mol],SWE [m],surface air temperature [K],max ponded depth [m],total evapotranspiration [m d^-1],snow evaporation [m d^-1],surface evaporation [m d^-1],transpiration [m d^-1],canopy evaporation [m d^-1],canopy drainage [m d^-1],water to surface [m d^-1],snow to surface [m SWE d^-1],canopy water content [mol],SWE at SNOTEL [m],net groundwater flux [m^3/d],net groundwater flux [m/d],rain precipitation [mm d^-1],snow precipitation [mm d^-1],snowmelt [mm d^-1],watershed boundary discharge [m^3/d],watershed boundary discharge [m/d],total evapotranspiration [mm d^-1],snow water content [m],surface water content [m],subsurface water content [m],canopy water content [m],(Ps_thru-SM-Es) [m/d],total water content [m],(Pr+SM-ET-Q-gw) [m/d],(Pr+Ps-ET-Q-gw) [m/d],(Pr+SM-ET-Q) [m/d],(Pr+Ps-ET-Q) [m/d],(Ps-SM) [m/d],cum_groundwater flux [m],cum_(Pr+Ps-ET-Q-gw) [m],cum canopy mass change [m],cum_snow evaporation [m],cum_snow to surface [m],cum_(Ps_thru-SM-Es) [m],cum_(P-Pt+S-St-Ec-drainage) [m],cum_rain precipitation [m],cum_snow precipitation [m],cum_snowmelt [m],cum_ET [m],cum_overland flux [m],cum_(Pr+SM-ET-Q) [m],cum_(Pr+Ps-ET-Q) [m],cum_(Ps-SM) [m],cum snow mass change [m],cum water mass change [m],water mass error [m],snow mass error [m],SWE [mm],SWE at SNOTEL [mm],-cum_ET [m],cum_P [m],P [m/d],-ET [m/d],-cum_Q [m]
2013-10-01,12318.0,0.0,0.0,0.0,0.0,0.0,315208459771.5,16128834999990.0,20.40089163307,1.791635425259e-12,274.7560136603,1.704694391409,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,852826046.1474,5.395798521734e-18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7916354252597345e-12,0.027682056893666932,1.4164573134298175,7.489640077226091e-05,0.0,1.4442142667260482,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.489640077226091e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.791635425259e-09,5.395798521734e-15,-0.0,0.0,0.0,-0.0,-0.0
2013-10-02,12319.0,14184232724.13,1.98890509234e-09,9.615822217727e-09,0.0004137653148464,0.006302245144345,326664358554.8,16174076542130.0,4525929627.391,0.0003974736005911,275.6628830313,1.737706677667,2.897659145142e-05,9.993592880286e-06,1.039552168801e-05,1.756208165524e-09,8.585720674951e-06,0.0007333508534786,0.006235317513107,0.0004074765041988,1588761703.977,0.00138007191803,3.5836127789909906e-14,1.7466848434896544e-22,6.302245144345,0.4137653148464,9.615822217726999e-06,255571.7607951351,0.0012456795656658982,0.02897659145142,0.0003974736005911553,0.028688130277983098,1.4204304902423455,0.00013952732078273698,0.00039747329549629624,1.4496556214417025,0.005027598603049899,0.005441354302074082,0.005027598603049899,0.005441354302074082,0.00041375569902418226,1.7466848434896544e-22,0.005441354302074082,0.0002144237215549979,9.993592880286e-06,0.0004074765041988,0.00039747329549629624,-0.0006687201322679512,0.006302245144345,0.0004137653148464,9.615822217727e-09,2.897659145142e-05,0.0012456795656658982,0.005027598603049899,0.005441354302074082,0.00041375569902418226,0.00039747359879951986,0.005441354715654212,-4.135801302124209e-10,-3.0330322362817283e-10,0.3974736005911,1.38007191803,-2.897659145142e-05,0.0067160104591914,0.0067160104591914,-2.897659145142e-05,-0.0012456795656658982
2013-10-03,12320.0,15198866583.85,1.479385946757e-09,5.793468634795e-08,4.617203794836e-05,0.003075557863704,331445201496.4,16188040565530.0,4933720988.061,0.0004332864200028,276.0781273079,1.776705115952,0.0001346853197393,9.686592591025e-06,1.673133300728e-05,7.833811948308e-06,0.0001004335821926,0.0003002919622534,0.00300549436835,4.555737625256e-05,1249905436.086,0.00138007191803,2.665560264427027e-14,1.299217856510124e-22,3.0755578637039998,0.04617203794836,5.7934686347949996e-05,273853.4519612613,0.0013347861596049405,0.1346853197393,0.000433286420002779,0.02910799072971398,1.42165683071082,0.00010976847962303525,3.5812848975187055e-05,1.4513078763401597,0.0016061443190461071,0.0016522584223081192,0.0016061443190461071,0.0016522584223081192,4.611410326201205e-05,3.0459026999997784e-22,0.007093612724382201,0.00032419220117803316,1.9680185471311e-05,0.00045303388045135997,0.0004332861444714833,-0.0009987675196641511,0.009377803008049,0.00045993735279476,6.7550508565677e-08,0.00016366191119072,0.0025804657252708387,0.006633742922096007,0.007093612724382201,0.0004598698022861943,0.00043328641821114357,0.007093609614111429,3.110270771836121e-09,-2.737396602794928e-10,0.43328642000280004,1.38007191803,-0.00016366191119072,0.009837740360843759,0.0031217299016523597,-0.0001346853197393,-0.0025804657252708387
2013-10-04,12321.0,15214600900.96,1.75358058723e-09,1.664932324089e-05,0.0,0.0,331141409885.9,16171119530370.0,4689606536.177,0.0004118479403676,277.8639858367,1.802472528223,0.0002643784536862,4.789149036984e-06,2.088668938273e-05,0.0001727861679874,6.591644727905e-05,4.827320260862e-07,4.827320260862e-07,0.0,493822216.2762,0.001281980049119,3.1596046616756754e-14,1.5400195038711894e-22,0.0,0.0,0.01664932324089,274136.95317045046,0.0013361679697941014,0.2643784536862,0.0004118479403676896,0.029081311316820763,1.4201708012484813,4.3368171959039715e-05,-2.1438472277874e-05,1.4497073286776285,-0.0015838971002394115,-0.0016005464234803014,-0.0015838971002394115,-0.0016005464234803014,-1.664932324089e-05,4.585922203870968e-22,0.005493066300901899,0.0003675603731370729,2.4469334508294998e-05,0.00045303388045135997,0.0004118476721936093,-0.0010656494309953736,0.009377803008049,0.00045993735279476,1.6716873749455675e-05,0.00042804036487692,0.003916633695064941,0.005049845821856596,0.005493066300901899,0.0004432204790453043,0.0004118479385760542,0.00549306195158028,4.349321619002977e-09,-2.66382444910878e-10,0.4118479403676,1.2819800491189999,-0.00042804036487692,0.009837740360843759,0.0,-0.0002643784536862,-0.003916633695064941
2013-10-05,12322.0,15042767794.18,1.259345741415e-09,0.0001859130867662,0.0,0.0,330896895809.9,16154486043430.0,2556419913.287,0.0002245084460456,281.5701484896,1.817553177848,0.000367949830621,1.428017327065e-06,1.296496464821e-05,0.0003343642117897,1.919263685602e-05,2.434684913384e-07,2.434684913384e-07,0.0,272509439.4177,0.0006472603511721,2.269091425972973e-14,1.105975407129578e-22,0.0,0.0,0.1859130867662,271040.8611563964,0.001321077341066853,0.367949830621,0.0002245084460455598,0.02905983774162535,1.4187100246812947,2.3932167973824537e-05,-0.000187341104093265,1.4480183030369393,-0.001503114084921653,-0.001689027171687853,-0.001503114084921653,-0.001689027171687853,-0.0001859130867662,5.691897611000546e-22,0.003804039129214046,0.0003914925411108974,2.589735183536e-05,0.00045303388045135997,0.00022450656810034427,-0.0010853290048340703,0.009377803008049,0.00045993735279476,0.0002026299605156557,0.00079599019549792,0.005237711036131794,0.0035467317369349428,0.003804039129214046,0.0002573073922791043,0.0002245084442539244,0.0038040363108911013,2.8183229448114355e-09,-1.8761535801228423e-09,0.2245084460456,0.6472603511720999,-0.00079599019549792,0.009837740360843759,0.0,-0.000367949830621,-0.005237711036131794
2013-10-06,12323.0,15128638629.54,3.178137151273e-09,0.000148958456343,0.0,0.0,330235046821.1,16137461229260.0,854977258.8455,7.508532334224e-05,282.4787951925,1.81834514063,0.0003792069678388,4.554927837267e-07,1.646627008793e-05,0.0003573490244549,4.936180512278e-06,2.077881909346e-07,2.077881909346e-07,0.0,213936685.6461,0.0002085365364108,5.726373245536936e-14,2.7910854137986023e-22,0.0,0.0,0.14895845634299998,272588.08341513516,0.0013286186404078207,0.3792069678388,7.508532334224e-05,0.029001713218646932,1.4172148811981544,1.8788225125654897e-05,-0.0001494139491267267,1.4463104679652692,-0.0015588671519036206,-0.0017078256082466207,-0.0015588671519036206,-0.0017078256082466207,-0.000148958456343,8.482983024799148e-22,0.0020962135209674254,0.0004102807662365523,2.63528446190867e-05,0.00045303388045135997,7.509261897361758e-05,-0.0010906807617282175,0.009377803008049,0.00045993735279476,0.0003515884168586557,0.00117519716333672,0.006566329676539614,0.001987864585031322,0.0020962135209674254,0.00010834893593610431,7.508532155060457e-05,0.0020962012392209406,1.2281746484838624e-08,7.297423013004909e-09,0.07508532334224001,0.2085365364108,-0.00117519716333672,0.009837740360843759,0.0,-0.0003792069678388,-0.006566329676539614
2013-10-07,12324.0,15430002733.24,1.582149614209e-09,3.134089065823e-05,0.0,0.00336569144067,333874818225.1,16152652842780.0,255888250.1527,2.247247140601e-05,277.6179146191,1.814466247699,0.0003026023568383,2.12845127768e-05,0.0001606353421221,8.241124786633e-05,3.827125407313e-05,0.0002267423840985,0.003220589849462,0.0,1430390287.614,6.05682137479e-05,2.850720025601802e-14,1.389466376206274e-22,3.36569144067,0.0,0.031340890658229995,278018.0672655856,0.0013550848661886257,0.3026023568383,2.2472471406011365e-05,0.029321363139078988,1.4185490303833381,0.00012561891692432136,-5.262540343503e-05,1.4480184849107474,0.0017393451083013041,0.0017080042176430743,0.0017393451083013041,0.0017080042176430743,-3.134089065823e-05,9.872449401005422e-22,0.0038042177386104995,0.0005358996831608736,4.76373573958867e-05,0.00045303388045135997,2.2467215538587582e-05,-0.0012105928086918476,0.012743494448719,0.00045993735279476,0.00038292930751688566,0.00147779952017502,0.00792141454272824,0.003727209693332626,0.0038042177386104995,7.700804527787431e-05,2.2472469614375938e-05,0.003804218184699115,-4.460886156992805e-10,-5.2540757883565755e-09,0.02247247140601,0.0605682137479,-0.00147779952017502,0.01320343180151376,0.00336569144067,-0.0003026023568383,-0.00792141454272824
2013-10-08,12325.0,16403559816.18,7.091479398397e-10,2.321480147554e-07,0.0006739278933664,0.006095082488534,341959475860.4,16195189419750.0,6080339064.637,0.0005339840562721,274.4331787519,1.823725313976,0.0003736814625895,0.0001623199991767,0.0002100076735975,0.0,1.353789815254e-06,0.0007379707975762,0.006095988862103,0.0006740706014968,1403032606.027,0.002609032783736,1.2777440357472073e-14,6.22783843774367e-23,6.095082488534,0.6739278933664,0.0002321480147554,295559.63632756757,0.001440584038954211,0.3736814625895,0.0005339840562721012,0.03003136931336895,1.4222846532933293,0.000123216326274568,0.0005115184543053446,1.452973222989245,0.004281049135005044,0.004954744880356689,0.004281049135005044,0.004954744880356689,0.0006736957453516446,1.0495233244779788e-21,0.008758962618967189,0.0006591160094354416,0.0002099573565725867,0.00112710448194816,0.0005339856698439322,-0.001950966477782702,0.018838576937253,0.00113386524616116,0.0003831614555316411,0.00185148098276452,0.009361998581682452,0.00800825882833767,0.008758962618967189,0.0007507037906295189,0.0005339840544804658,0.008758956263196671,6.3557705175243395e-09,1.6153634664704125e-09,0.5339840562721,2.609032783736,-0.00185148098276452,0.01997244218341416,0.0067690103819004,-0.0003736814625895,-0.009361998581682452
2013-10-09,12326.0,17350917816.6,1.715174550494e-09,2.499745150564e-07,0.0006490860542464,0.003550402120688,346429480475.4,16212697298260.0,11797994185.96,0.001036116690915,275.9758619891,1.839748375896,0.0002543925532223,0.0001448943936371,6.843383934078e-05,1.015925181163e-06,4.004839506325e-05,0.0004203451232563,0.003523111396113,0.0006472763292936,1278382150.025,0.005184288464325,3.090404595484684e-14,1.506290774167776e-22,3.550402120688,0.6490860542464,0.00024997451505639996,312629.14984864864,0.001523782370893994,0.2543925532223,0.0010361166909151139,0.030423931499539605,1.4238222201763773,0.00011226934529134735,0.0005021319611414435,1.4553945377121233,0.0017724771710867625,0.0024213132508181055,0.0017724771710867625,0.0024213132508181055,0.0006488360797313436,1.2001524018947565e-21,0.011180275869785294,0.000771385354726789,0.0003548517502096867,0.00177438081124176,0.0010361176309853757,-0.002382259546574452,0.022388979057941,0.00178295130040756,0.0003834114300466975,0.00210587353598682,0.010885780952576446,0.009780735999424433,0.011180275869785294,0.0013995398703608624,0.0010361166891234785,0.011180270986075103,4.88371019145839e-09,9.41861897285276e-10,1.0361166909150001,5.184288464325,-0.00210587353598682,0.02417193035834856,0.0041994881749344,-0.0002543925532223,-0.010885780952576446
2013-10-10,12327.0,17429194421.82,1.566365255694e-09,1.475401906602e-06,0.0,0.002045430897794,348472871909.4,16215419039460.0,11599218483.9,0.00101865992501,276.1186346193,1.857951888029,0.0001173682024138,1.598223544056e-05,1.505862528942e-05,1.726719149151e-05,6.906015019233e-05,0.0001495200882882,0.001979988161612,0.0,1237184299.288,0.005144729565915,2.8222797399891894e-14,1.3756043272384573e-22,2.045430897794,0.0,0.0014754019066020002,314039.5391318919,0.0015306567341033886,0.1173682024138,0.001018659925010124,0.03060338505219179,1.4240612473738163,0.00010865129123015509,-1.7457637347161998e-05,1.4557919436422484,0.0003988813631834137,0.0003974059612768116,0.0003988813631834137,0.0003974059612768116,-1.475401906602e-06,1.3377128346186022e-21,0.011577681831062106,0.0008800366459569441,0.0003708339856502467,0.00177438081124176,0.0010186599936382137,-0.0025353970488729816,0.024434409955735,0.00178295130040756,0.00038488683195329947,0.00222324173840062,0.012416437686679835,0.010179617362607847,0.011577681831062106,0.0013980644684542603,0.0010186599232184885,0.011577676916200152,4.914861953184135e-09,7.041972517260464e-11,1.01865992501,5.144729565915,-0.00222324173840062,0.02621736125614256,0.002045430897794,-0.0001173682024138,-0.012416437686679835
