datetime,total water content [m],storage_gain [m],storage_lose [m],cum-storage_gain [m],cum-storage_lose [m],base flow [m/d],overland flow [m/d]
2013-10-02,1.4460186577401053,0.005477730968197703,0.0,0.005477730968197703,0.0,0.0,0.0012095368615354565
2013-10-03,1.4477180705086294,0.0016994127685241445,0.0,0.007177143736721847,0.0,0.0,0.0012880641082725472
2013-10-04,1.4461626697511754,0.0,-0.001555400757454084,0.007177143736721847,-0.001555400757454084,0.0012916815076909841,0.0
2013-10-05,1.444520279426798,0.0,-0.0016423903243774074,0.007177143736721847,-0.0031977910818314914,0.0012766990416030073,9.561071797562631e-10
2013-10-06,1.442856968931521,0.0,-0.001663310495277015,0.007177143736721847,-0.004861101577108506,0.001282827384199815,8.339904615430743e-10
2013-10-07,1.444626436556874,0.0017694676253530162,0.0,0.008946611362074863,-0.004861101577108506,0.0,0.0013068712665539979
2013-10-08,1.4496461653944555,0.005019728837581505,0.0,0.013966340199656369,-0.004861101577108506,0.0,0.0013827471034449236
2013-10-09,1.4521244759814773,0.002478310587021859,0.0,0.016444650786678228,-0.004861101577108506,0.0,0.001462323607470529
2013-10-10,1.4525788535895114,0.00045437760803412885,0.0,0.016899028394712357,-0.004861101577108506,0.0,0.0014752111039605935
2013-10-11,1.4533100971113058,0.0007312435217943225,0.0,0.01763027191650668,-0.004861101577108506,0.0,0.0014702675013429853
2013-10-12,1.4543699152482792,0.0010598181369734228,0.0,0.018690090053480102,-0.004861101577108506,0.0,0.0014853529958398883
2013-10-13,1.4542776998857645,0.0,-9.221536251469153e-05,0.018690090053480102,-0.004953316939623198,0.0,0.0015016047408307309
2013-10-14,1.4525747296147735,0.0,-0.0017029702709909778,0.018690090053480102,-0.006656287210614176,0.0015065915520209778,0.0
2013-10-15,1.4508274450310423,0.0,-0.0017472845837311901,0.018690090053480102,-0.008403571794345366,0.00151413924041919,1.5150846460667416e-09
2013-10-16,1.4491076531005784,0.0,-0.0017197919304638987,0.018690090053480102,-0.010123363724809264,0.0015288601246652986,1.0067433442884771e-09
2013-10-17,1.4473455506365989,0.0,-0.0017621024639795646,0.018690090053480102,-0.011885466188788829,0.0015377878457243645,2.153362423486585e-09
2013-10-18,1.4455914859468086,0.0,-0.0017540646897902246,0.018690090053480102,-0.013639530878579054,0.0015392329388953245,3.7279683832124044e-10
2013-10-19,1.4437799737300199,0.0,-0.0018115122167887687,0.018690090053480102,-0.015451043095367822,0.0015343698489023688,0.0
2013-10-20,1.4419835355730442,0.0,-0.0017964381569757215,0.018690090053480102,-0.017247481252343544,0.0015217576705765215,0.0
2013-10-21,1.4402455831280458,0.0,-0.001737952444998303,0.018690090053480102,-0.018985433697341847,0.001498878735147203,1.1360298270667035e-10
2013-10-22,1.4384877924695036,0.0,-0.001757790658542202,0.018690090053480102,-0.02074322435588405,0.001476305810088702,1.7844266082117644e-09
2013-10-23,1.4367846640222333,0.0,-0.0017031284472703856,0.018690090053480102,-0.022446352803154435,0.0014534839725062856,0.0
2013-10-24,1.4351323771550717,0.0,-0.0016522868671615676,0.018690090053480102,-0.024098639670316002,0.0014242027235812677,0.0
2013-10-25,1.4335689087253547,0.0,-0.0015634684297169965,0.018690090053480102,-0.025662108100033,0.0013932830793244966,3.6321882329083677e-10
2013-10-26,1.4319912914177073,0.0,-0.0015776173076473832,0.018690090053480102,-0.027239725407680382,0.0013662628279900832,7.780344337543488e-11
2013-10-27,1.4308145423848784,0.0,-0.0011767490328289387,0.018690090053480102,-0.02841647444050932,0.0009693367061538387,0.000375818038124269
2013-10-28,1.4297008960499666,0.0,-0.0011136463349117331,0.018690090053480102,-0.029530120775421054,0.0009564156874543332,0.0003605054371088796
2013-10-29,1.4283121666269976,0.0,-0.0013887294229690816,0.018690090053480102,-0.030918850198390135,0.0012934076636240816,0.0
2013-10-30,1.4269596318212157,0.0,-0.001352534805781902,0.018690090053480102,-0.03227138500417204,0.001274400813381402,0.0
2013-10-31,1.4328141385441793,0.005854506722963615,0.0,0.024544596776443717,-0.03227138500417204,0.0,0.0012834838619133722
2013-11-01,1.439382517873035,0.006568379328855789,0.0,0.031112976105299506,-0.03227138500417204,0.0,0.0013803460571680812
2013-11-02,1.4504031699710884,0.011020652098053363,0.0,0.04213362820335287,-0.03227138500417204,0.0,0.0014215564186519677
2013-11-03,1.4636147062193914,0.013211536248302957,0.0,0.055345164451655826,-0.03227138500417204,0.0,0.0015830238504783653
2013-11-04,1.467750704793285,0.004135998573893573,0.0,0.0594811630255494,-0.03227138500417204,0.0,0.0015992570460187443
2013-11-05,1.4711084336615887,0.0033577288683037665,0.0,0.06283889189385317,-0.03227138500417204,0.0,0.001535037502978429
2013-11-06,1.4749081062275893,0.003799672566000556,0.0,0.06663856445985372,-0.03227138500417204,0.0,0.001611669078555353
2013-11-07,1.4901485141708244,0.015240407943235112,0.0,0.08187897240308883,-0.03227138500417204,0.0,0.0017878030994165866
2013-11-08,1.5055557842794705,0.015407270108646065,0.0,0.0972862425117349,-0.03227138500417204,0.0,0.00221991008956635
2013-11-09,1.5091781900118526,0.00362240573238215,0.0,0.10090864824411705,-0.03227138500417204,0.0,0.002347021798267563
2013-11-10,1.5105929479068125,0.0014147578949599282,0.0,0.10232340613907698,-0.03227138500417204,0.0,0.0023430549441060145
2013-11-11,1.509481092984143,0.0,-0.0011118549226696306,0.10232340613907698,-0.03338323992684167,0.0010594681387408906,0.0013769259050620257
2013-11-12,1.5102774057434374,0.0007963127592944819,0.0,0.10311971889837146,-0.03338323992684167,0.0,0.0026046208335784374
