datetime,time [d],watershed boundary discharge [mol d^-1],net groundwater flux [mol d^-1],snowmelt [m d^-1],snow precipitation [m d^-1],rain precipitation [m d^-1],surface water content [mol],subsurface water content [mol],snow water content [mol],SWE [m],surface air temperature [K],max ponded depth [m],total evapotranspiration [m d^-1],snow evaporation [m d^-1],surface evaporation [m d^-1],transpiration [m d^-1],canopy evaporation [m d^-1],canopy drainage [m d^-1],water to surface [m d^-1],snow to surface [m SWE d^-1],canopy water content [mol],SWE at SNOTEL [m],net groundwater flux [m^3/d],net groundwater flux [m/d],rain precipitation [mm d^-1],snow precipitation [mm d^-1],snowmelt [mm d^-1],watershed boundary discharge [m^3/d],watershed boundary discharge [m/d],total evapotranspiration [mm d^-1],snow water content [m],surface water content [m],subsurface water content [m],canopy water content [m],(Ps_thru-SM-Es) [m/d],total water content [m],(Pr+SM-ET-Q-gw) [m/d],(Pr+Ps-ET-Q-gw) [m/d],(Pr+SM-ET-Q) [m/d],(Pr+Ps-ET-Q) [m/d],(Ps-SM) [m/d],cum_groundwater flux [m],cum_(Pr+Ps-ET-Q-gw) [m],cum canopy mass change [m],cum_snow evaporation [m],cum_snow to surface [m],cum_(Ps_thru-SM-Es) [m],cum_(P-Pt+S-St-Ec-drainage) [m],cum_rain precipitation [m],cum_snow precipitation [m],cum_snowmelt [m],cum_ET [m],cum_overland flux [m],cum_(Pr+SM-ET-Q) [m],cum_(Pr+Ps-ET-Q) [m],cum_(Ps-SM) [m],cum snow mass change [m],cum water mass change [m],water mass error [m],snow mass error [m],SWE [mm],SWE at SNOTEL [mm],-cum_ET [m],cum_P [m],P [m/d],-ET [m/d],-cum_Q [m]
2013-10-01,12318.0,0.0,0.0,0.0,0.0,0.0,96597017921.09,16563041113990.0,4037855827.85,0.0003546102627956,274.7557008295,2.333309592256,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1024915693.678,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0003546102627956011,0.008483288004987584,1.4545899141856453,9.000955927443599e-05,0.0,1.463517822012703,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.000955927443599e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3546102627956,0.0,-0.0,0.0,0.0,-0.0,-0.0
2013-10-02,12319.0,40984179339.23,6.914180595064e-10,8.674310515498e-09,0.0004136898276085,0.006302347675437,96559791793.6,16593157405140.0,8507348192.177,0.000747127462381,275.6625731293,2.360702024108,3.297121675063e-05,1.633764503909e-05,8.126855947649e-06,2.436614794962e-10,8.506472102405e-06,0.0007491450297726,0.006248993981113,0.0004088630466528,1590544704.566,0.001345856046453,1.245798305416937e-14,6.072132097736137e-23,6.302347675437001,0.4136898276085,8.674310515498e-06,738453.681787928,0.003599289134026578,0.03297121675063,0.0007471274623809171,0.008480018753331535,1.4572347698651056,0.00013968390643967626,0.0003925167273031945,1.4666015999872577,0.002670095998970308,0.0030837771522682924,0.002670095998970308,0.0030837771522682924,0.0004136811532979845,6.072132097736137e-23,0.0030837771522682924,0.00022969346571411224,1.633764503909e-05,0.0004088630466528,0.0003925167273031945,-0.0006994710265953049,0.006302347675437,0.0004136898276085,8.674310515498e-09,3.297121675063e-05,0.003599289134026578,0.002670095998970308,0.0030837771522682924,0.0004136811532979845,0.000392517199585316,0.0030837779745547245,-8.22286432087399e-10,-4.722821215054698e-10,0.747127462381,1.345856046453,-3.297121675063e-05,0.0067160375030455004,0.0067160375030455004,-3.297121675063e-05,-0.003599289134026578
2013-10-03,12320.0,41248113870.58,2.478594380592e-09,6.663341910646e-08,4.612934605219e-05,0.003075596643379,91453314698.2,16591010663630.0,8861653010.039,0.0007782430172517,276.0778507877,2.3302217344,0.0001348541523522,1.436474978039e-05,1.308012010176e-05,7.936613849918e-06,9.947266862016e-05,0.0003016605196465,0.00300643026952,4.554698169195e-05,1252047157.06,0.001345856046453,4.4659358208864863e-14,2.176736966692116e-22,3.0755966433790003,0.046129346052190004,6.663341910646e-05,743209.2589293694,0.003622468241333312,0.1348541523522,0.0007782430172517036,0.00803156064537484,1.457046239961248,0.00010995656861625455,3.111559849245354e-05,1.4659660001924908,-0.0006816591168874054,-0.0006355964042543218,-0.0006816591168874054,-0.0006355964042543218,4.606271263308354e-05,2.78395017646573e-22,0.0024481807480139705,0.00033965003433036677,3.070239481948e-05,0.00045441002834475,0.000423632325795648,-0.0010308554766427249,0.009377944318816,0.00045981917366069,7.5307729621958e-08,0.00016782536910283,0.0072217573753598895,0.0019884368820829025,0.0024481807480139705,0.00045974386593106804,0.00042363275445610253,0.002448178179787819,2.5682261517098737e-09,-4.2866045451726495e-10,0.7782430172517001,1.345856046453,-0.00016782536910283,0.00983776349247669,0.0031217259894311903,-0.0001348541523522,-0.0072217573753598895
2013-10-04,12321.0,37795820333.6,-1.784667100719e-09,2.338416970198e-05,0.0,0.0,84727942177.91,16558063930220.0,8491829864.44,0.0007457646206868,277.8637632587,2.225280285821,0.0002624532755991,9.094127520916e-06,1.5805378184e-05,0.0001728733402382,6.468042965592e-05,5.164430995006e-07,5.164430995006e-07,0.0,509656538.1224,0.001249983339164,-3.2156163976918916e-14,-1.5673201237737155e-22,0.0,0.0,0.023384169701979998,681005.7717765765,0.0033192828948055034,0.26245327559910003,0.0007457646206868154,0.007440928830249286,1.4541528108020902,4.475876470688947e-05,-3.2478297222896e-05,1.4623842630177333,-0.0035583520007026236,-0.0035817361704046035,-0.0035583520007026236,-0.0035817361704046035,-2.338416970198e-05,1.2166300526920143e-22,-0.001133555422390633,0.00038440879903725627,3.9796522340395997e-05,0.00045441002834475,0.000391154028572752,-0.001096568792497646,0.009377944318816,0.00045981917366069,2.3459477431601957e-05,0.00043027864470193005,0.010541040270165393,-0.001569915118619721,-0.001133555422390633,0.00043635969622908804,0.00039115435789121433,-0.0011335589949696967,3.572579063745168e-09,-3.293184623110769e-10,0.7457646206868,1.2499833391639998,-0.00043027864470193005,0.00983776349247669,0.0,-0.0002624532755991,-0.010541040270165393
2013-10-05,12322.0,33335827760.69,5.285149916674e-09,0.0003269671369291,0.0,0.0,81334934767.46,16527975082550.0,4724421052.333,0.0004149054008738,281.5700349071,2.147422129776,0.0003627650077966,3.891704157428e-06,9.417937669394e-06,0.0003306438390927,1.88115268771e-05,2.703259317532e-07,2.703259317532e-07,0.0,292375172.9319,0.0006316775272915,9.522792642655857e-14,4.641494101744188e-22,0.0,0.0,0.3269671369291,600645.5452376576,0.0029275999804632734,0.3627650077966,0.00041490540087384006,0.007142950075983622,1.4515103652482189,2.5676805049152914e-05,-0.000330858841086528,1.4590938975301253,-0.0029633978513307732,-0.0032903649882598733,-0.0029633978513307732,-0.0032903649882598733,-0.0003269671369291,5.858124154436202e-22,-0.004423920410650506,0.0004100856040864092,4.3688226497823995e-05,0.00045441002834475,6.0295187486224006e-05,-0.0011159209712382524,0.009377944318816,0.00045981917366069,0.00035042661436070194,0.00079304365249853,0.013468640250628668,-0.004533312969950494,-0.004423920410650506,0.00010939255929998804,6.029513807823898e-05,-0.004423924482577668,4.071927161772293e-09,4.940798502750185e-11,0.4149054008738,0.6316775272915001,-0.00079304365249853,0.00983776349247669,0.0,-0.0003627650077966,-0.013468640250628668
2013-10-06,12323.0,30728873015.09,-1.457300642279e-09,0.0002741958944545,0.0,0.0,79354752893.66,16498158426400.0,1579405784.414,0.0001387056705712,282.478632186,2.117616947253,0.0003751878498108,2.00123350842e-06,1.229494133348e-05,0.0003559215202095,4.970154759388e-06,2.302557460505e-07,2.302557460505e-07,0.0,233159152.5604,0.0002019497976688,-2.625766923025225e-14,-1.2798222268523051e-22,0.0,0.0,0.27419589445450004,553673.3876592793,0.002698653493306081,0.3751878498108,0.00013870567057124432,0.0069690476771391355,1.4488918239421844,2.047636960992421e-05,-0.00027619712796292004,1.4560200536595047,-0.002799645448662381,-0.003073841343116881,-0.002799645448662381,-0.003073841343116881,-0.0002741958944545,4.578301927583897e-22,-0.007497761753767387,0.0004305619736963334,4.5689460006243996e-05,0.00045441002834475,-0.00021590194047669604,-0.0011213516374897414,0.009377944318816,0.00045981917366069,0.000624622508815202,0.00116823150230933,0.01616729374393475,-0.007332958418612876,-0.007497761753767387,-0.000164803335154512,-0.00021590459222435677,-0.007497768353198264,6.599430876774726e-09,2.651747660727599e-09,0.1387056705712,0.2019497976688,-0.00116823150230933,0.00983776349247669,0.0,-0.0003751878498108,-0.01616729374393475
2013-10-07,12324.0,29668224878.47,1.24297206083e-09,5.753030512984e-05,0.0,0.003368029971478,81137076407.51,16501385878770.0,479484325.0917,4.210899788804e-05,277.6176569528,2.114638969446,0.0003138549312937,3.906555325795e-05,0.0001548832751245,8.185212162072e-05,3.805398129053e-05,0.0002291506929799,0.003224676643958,0.0,1432178339.417,5.813187543237e-05,2.2395892987927928e-14,1.091595807107381e-22,3.3680299714779998,0.0,0.057530305129840004,534562.610422883,0.0026055058598848184,0.3138549312937,4.210899788803839e-05,0.007125573872372227,1.4491752634164698,0.00012577594618608468,-9.659585838779e-05,1.4564687222329165,0.0005061994854293215,0.00044866918029948157,0.0005061994854293215,0.00044866918029948157,-5.753030512984e-05,5.669897734691277e-22,-0.007049092573467906,0.0005563379198824181,8.4755013264194e-05,0.00045441002834475,-0.000312497798864486,-0.0012452029842401715,0.012745974290294,0.00045981917366069,0.000682152813945042,0.00148208643360303,0.018772799603819567,-0.006826758933183554,-0.007049092573467906,-0.00022233364028435197,-0.0003125012649075627,-0.007049099779786516,7.206318610418483e-09,3.4660430766816908e-09,0.04210899788804,0.05813187543237,-0.00148208643360303,0.013205793463954691,0.003368029971478,-0.0003138549312937,-0.018772799603819567
2013-10-08,12325.0,30697606576.34,1.69699620461e-09,2.841184021317e-07,0.0006720347964019,0.006096448172874,85943181642.15,16532995561710.0,6157089000.267,0.0005407243451788,274.4328734493,2.163134478052,0.0003782704207035,0.0001732695851929,0.0002036059265415,0.0,1.394908969078e-06,0.0007387641995246,0.006097315956459,0.0006721729770206,1404840898.248,0.00276399646209,3.0576508191171174e-14,1.490326291318603e-22,6.096448172874,0.6720347964019,0.00028411840213170004,553110.0284025226,0.0026959076300225662,0.37827042070350003,0.0005407243451787983,0.007547652894739519,1.4519512708947278,0.00012337513307873304,0.0004986192734255684,1.4601630232677247,0.0030225542405500653,0.003694304918549834,0.0030225542405500653,0.003694304918549834,0.0006717506779997683,7.160224026009881e-22,-0.0033547876549180717,0.0006797130529611512,0.00025802459845709403,0.00112658300536535,0.00018612147456108235,-0.0019863680569375502,0.018842422463168,0.00113185397006259,0.0006824369323471737,0.00186035685430653,0.021468707233842133,-0.003804204692633489,-0.0033547876549180717,0.00044941703771541637,0.00018611408238319724,-0.003354798744978238,1.1090060166203675e-08,7.392177885112185e-09,0.5407243451788,2.7639964620899997,-0.00186035685430653,0.019974276433230593,0.0067684829692759,-0.0003782704207035,-0.021468707233842133
2013-10-09,12326.0,33316319990.67,-1.178417076983e-09,2.503442009048e-07,0.0006501590385952,0.003552417834576,86207776597.07,16538856537820.0,11861964132.69,0.001041734622953,275.9755925128,2.208671414995,0.0002486631626376,0.0001470699625832,6.094158905428e-05,1.050663902775e-06,3.96009470974e-05,0.0004216405075541,0.003525585151699,0.0006483314286161,1280252149.696,0.005511305328164,-2.123274012581982e-14,-1.034902698777806e-22,3.552417834576,0.6501590385952001,0.0002503442009048,600294.0538859459,0.002925886780252995,0.2486631626376,0.0010417346229533225,0.0075708900013869195,1.4524659901831853,0.00011243357133185808,0.0005010111218319952,1.4611910483788575,0.0003781182358863098,0.0010280269302806047,0.0003781182358863098,0.0010280269302806047,0.0006499086943942953,6.1253213272320745e-22,-0.002326760724637467,0.0007921466242930093,0.000405094561040294,0.00177491443398145,0.0006871325963930775,-0.0024189492187329503,0.022394840297744002,0.00178201300865779,0.0006826872765480785,0.00210902001694413,0.024394594014095126,-0.003426086456747179,-0.002326760724637467,0.0010993257321097116,0.0006871243601577215,-0.0023267736338454803,1.2909208013320295e-08,8.236235356055832e-09,1.041734622953,5.511305328163999,-0.00210902001694413,0.02417685330640179,0.0042025768731712,-0.0002486631626376,-0.024394594014095126
2013-10-10,12327.0,33562369258.41,3.157662654415e-09,1.445007177432e-06,0.0,0.002043690414491,84072237152.8,16529650932900.0,11655640735.12,0.001023615007654,276.1182967052,2.177207442289,0.0001139806542533,1.667519219955e-05,1.15640874872e-05,1.723489333571e-05,6.850648123084e-05,0.0001501583533349,0.001978853618586,0.0,1238465146.883,0.005470866676147,5.689482260207207e-14,2.7731044183867654e-22,2.043690414491,0.0,0.001445007177432,604727.3740254054,0.002947495178178486,0.1139806542533,0.001023615007654394,0.007383343878932572,1.4516575408182133,0.00010876377709434353,-1.8120199376982e-05,1.4601732634818945,-0.001016340410763354,-0.001017785417940786,-0.001016340410763354,-0.001017785417940786,-1.445007177432e-06,8.898425745618839e-22,-0.003344546142578253,0.0009009104013873528,0.00042176975323984404,0.00177491443398145,0.0006690123970160955,-0.0025727772573936906,0.024438530712235004,0.00178201300865779,0.0006841322837255105,0.0022230006711974303,0.027342089192273614,-0.004442426867510533,-0.003344546142578253,0.0010978807249322796,0.0006690047448587929,-0.0033445585308085057,1.2388230252822346e-08,7.652157302663436e-09,1.0236150076539998,5.470866676147,-0.0022230006711974303,0.026220543720892792,0.002043690414491,-0.0001139806542533,-0.027342089192273614
