"agency_cd","site_no","dateTime","Flow","Flow_cd","GH","GH_cd","tz_cd"
"USGS","12488500",1980-04-05,133,"A",NA,NA,"UTC"
"USGS","12488500",1980-04-06,139,"A",NA,NA,"UTC"
"USGS","12488500",1980-04-07,133,"A",NA,NA,"UTC"
"USGS","12488500",1980-04-08,132,"A",NA,NA,"UTC"
"USGS","12488500",1980-04-09,150,"A",NA,NA,"UTC"
"USGS","12488500",1980-04-10,158,"A",NA,NA,"UTC"
"USGS","12488500",1980-04-11,158,"A",NA,NA,"UTC"
"USGS","12488500",1980-04-12,172,"A",NA,NA,"UTC"
"USGS","12488500",1980-04-13,209,"A",NA,NA,"UTC"
"USGS","12488500",1980-04-14,274,"A",NA,NA,"UTC"
"USGS","12488500",1980-04-15,306,"A",NA,NA,"UTC"
"USGS","12488500",1980-04-16,327,"A",NA,NA,"UTC"
"USGS","12488500",1980-04-17,365,"A",NA,NA,"UTC"
"USGS","12488500",1980-04-18,391,"A",NA,NA,"UTC"
"USGS","12488500",1980-04-19,511,"A",NA,NA,"UTC"
"USGS","12488500",1980-04-20,700,"A",NA,NA,"UTC"
"USGS","12488500",1980-04-21,699,"A",NA,NA,"UTC"
"USGS","12488500",1980-04-22,660,"A",NA,NA,"UTC"
"USGS","12488500",1980-04-23,718,"A",NA,NA,"UTC"
"USGS","12488500",1980-04-24,773,"A",NA,NA,"UTC"
"USGS","12488500",1980-04-25,740,"A",NA,NA,"UTC"
"USGS","12488500",1980-04-26,745,"A",NA,NA,"UTC"
"USGS","12488500",1980-04-27,950,"A",NA,NA,"UTC"
"USGS","12488500",1980-04-28,1000,"A",NA,NA,"UTC"
"USGS","12488500",1980-04-29,1050,"A",NA,NA,"UTC"
"USGS","12488500",1980-04-30,1150,"A",NA,NA,"UTC"
"USGS","12488500",1980-05-01,1100,"A",NA,NA,"UTC"
"USGS","12488500",1980-05-02,1050,"A",NA,NA,"UTC"
"USGS","12488500",1980-05-03,1000,"A",NA,NA,"UTC"
"USGS","12488500",1980-05-04,1100,"A",NA,NA,"UTC"
"USGS","12488500",1980-05-05,1150,"A",NA,NA,"UTC"
"USGS","12488500",1980-05-06,1220,"A",NA,NA,"UTC"
"USGS","12488500",1980-05-07,1050,"A",NA,NA,"UTC"
"USGS","12488500",1980-05-08,935,"A",NA,NA,"UTC"
"USGS","12488500",1980-05-09,827,"A",NA,NA,"UTC"
"USGS","12488500",1980-05-10,739,"A",NA,NA,"UTC"
"USGS","12488500",1980-05-11,675,"A",NA,NA,"UTC"
"USGS","12488500",1980-05-12,706,"A",NA,NA,"UTC"
"USGS","12488500",1980-05-13,762,"A",NA,NA,"UTC"
"USGS","12488500",1980-05-14,746,"A",NA,NA,"UTC"
"USGS","12488500",1980-05-15,683,"A",NA,NA,"UTC"
"USGS","12488500",1980-05-16,620,"A",NA,NA,"UTC"
"USGS","12488500",1980-05-17,597,"A",NA,NA,"UTC"
"USGS","12488500",1980-05-18,622,"A",NA,NA,"UTC"
"USGS","12488500",1980-05-19,633,"A",NA,NA,"UTC"
"USGS","12488500",1980-05-20,735,"A",NA,NA,"UTC"
"USGS","12488500",1980-05-21,885,"A",NA,NA,"UTC"
"USGS","12488500",1980-05-22,878,"A",NA,NA,"UTC"
"USGS","12488500",1980-05-23,734,"A",NA,NA,"UTC"
"USGS","12488500",1980-05-24,626,"A",NA,NA,"UTC"
"USGS","12488500",1980-05-25,545,"A",NA,NA,"UTC"
"USGS","12488500",1980-05-26,510,"A",NA,NA,"UTC"
"USGS","12488500",1980-05-27,470,"A",NA,NA,"UTC"
"USGS","12488500",1980-05-28,441,"A",NA,NA,"UTC"
"USGS","12488500",1980-05-29,458,"A",NA,NA,"UTC"
"USGS","12488500",1980-05-30,476,"A",NA,NA,"UTC"
"USGS","12488500",1980-05-31,608,"A",NA,NA,"UTC"
"USGS","12488500",1980-06-01,702,"A",NA,NA,"UTC"
"USGS","12488500",1980-06-02,620,"A",NA,NA,"UTC"
"USGS","12488500",1980-06-03,521,"A",NA,NA,"UTC"
"USGS","12488500",1980-06-04,466,"A",NA,NA,"UTC"
"USGS","12488500",1980-06-05,429,"A",NA,NA,"UTC"
"USGS","12488500",1980-06-06,404,"A",NA,NA,"UTC"
"USGS","12488500",1980-06-07,395,"A",NA,NA,"UTC"
"USGS","12488500",1980-06-08,408,"A",NA,NA,"UTC"
"USGS","12488500",1980-06-09,555,"A",NA,NA,"UTC"
"USGS","12488500",1980-06-10,625,"A",NA,NA,"UTC"
"USGS","12488500",1980-06-11,686,"A",NA,NA,"UTC"
"USGS","12488500",1980-06-12,674,"A",NA,NA,"UTC"
"USGS","12488500",1980-06-13,570,"A",NA,NA,"UTC"
"USGS","12488500",1980-06-14,601,"A",NA,NA,"UTC"
"USGS","12488500",1980-06-15,636,"A",NA,NA,"UTC"
"USGS","12488500",1980-06-16,732,"A",NA,NA,"UTC"
"USGS","12488500",1980-06-17,756,"A",NA,NA,"UTC"
"USGS","12488500",1980-06-18,690,"A",NA,NA,"UTC"
"USGS","12488500",1980-06-19,614,"A",NA,NA,"UTC"
"USGS","12488500",1980-06-20,638,"A",NA,NA,"UTC"
"USGS","12488500",1980-06-21,609,"A",NA,NA,"UTC"
"USGS","12488500",1980-06-22,539,"A",NA,NA,"UTC"
"USGS","12488500",1980-06-23,453,"A",NA,NA,"UTC"
"USGS","12488500",1980-06-24,398,"A",NA,NA,"UTC"
"USGS","12488500",1980-06-25,470,"A",NA,NA,"UTC"
"USGS","12488500",1980-06-26,433,"A",NA,NA,"UTC"
"USGS","12488500",1980-06-27,375,"A",NA,NA,"UTC"
"USGS","12488500",1980-06-28,346,"A",NA,NA,"UTC"
"USGS","12488500",1980-06-29,353,"A",NA,NA,"UTC"
"USGS","12488500",1980-06-30,336,"A",NA,NA,"UTC"
"USGS","12488500",1980-07-01,312,"A",NA,NA,"UTC"
"USGS","12488500",1980-07-02,299,"A",NA,NA,"UTC"
"USGS","12488500",1980-07-03,279,"A",NA,NA,"UTC"
"USGS","12488500",1980-07-04,249,"A",NA,NA,"UTC"
"USGS","12488500",1980-07-05,221,"A",NA,NA,"UTC"
"USGS","12488500",1980-07-06,206,"A",NA,NA,"UTC"
"USGS","12488500",1980-07-07,191,"A",NA,NA,"UTC"
"USGS","12488500",1980-07-08,184,"A",NA,NA,"UTC"
"USGS","12488500",1980-07-09,192,"A",NA,NA,"UTC"
"USGS","12488500",1980-07-10,184,"A",NA,NA,"UTC"
"USGS","12488500",1980-07-11,167,"A",NA,NA,"UTC"
"USGS","12488500",1980-07-12,162,"A",NA,NA,"UTC"
"USGS","12488500",1980-07-13,150,"A",NA,NA,"UTC"
"USGS","12488500",1980-07-14,143,"A",NA,NA,"UTC"
"USGS","12488500",1980-07-15,138,"A",NA,NA,"UTC"
"USGS","12488500",1980-07-16,129,"A",NA,NA,"UTC"
"USGS","12488500",1980-07-17,125,"A",NA,NA,"UTC"
"USGS","12488500",1980-07-18,120,"A",NA,NA,"UTC"
"USGS","12488500",1980-07-19,116,"A",NA,NA,"UTC"
"USGS","12488500",1980-07-20,113,"A",NA,NA,"UTC"
"USGS","12488500",1980-07-21,107,"A",NA,NA,"UTC"
"USGS","12488500",1980-07-22,103,"A",NA,NA,"UTC"
"USGS","12488500",1980-07-23,101,"A",NA,NA,"UTC"
"USGS","12488500",1980-07-24,98,"A",NA,NA,"UTC"
"USGS","12488500",1980-07-25,95,"A",NA,NA,"UTC"
